,items,total_sale,Categories
188,CHOCOLATE ICECREAM            ,556.92,FOOD
260,SALI PER EDU/PAPETA PER EDU   ,544.52,FOOD
201,ESPRESSO TRIOS                ,544.52,BEVERAGE
203,GREEK GYROS CRUSTINI          ,538.3199999999999,FOOD
217,GRILLED CHICKEN SAUSAGES      ,495.0,FOOD
172,ZEN ROCK SQUARE VASE          ,495.0,MERCHANDISE
115,APPLE N CINNAMON CREPES       ,482.64,FOOD
99,HOUSEBLEND FULLCITY (REG)     ,470.24,BEVERAGE
191,SUMATRA MANDHELING (REG)      ,470.24,BEVERAGE
189,CINNA BUNS W CREAM CHESSE FROS,464.06,FOOD
143,ADD HAZELNUT FLAVOUR          ,463.5,BEVERAGE
182,YEMENI GREAT LAKES (AULAIT)         ,457.88,BEVERAGE
151,CON PANNA                     ,445.5,BEVERAGE
114,AFRICAN OMELETTE BREAKFAST    ,433.12,FOOD
198,CRUMBED TOFU CRUSTINI         ,426.93,FOOD
130,COSTARICA TARAZU (AULAIT)     ,426.93,BEVERAGE
31,HAWAIIAN KONA FANCY(REG)      ,408.38,BEVERAGE
210,PLAYING CARDS                 ,404.78000000000003,MERCHANDISE
258,JODHPUR LILY                  ,394.88,MERCHANDISE
245,CASABLANKA  HOOKAH SINGLE     ,389.4,TOBACCO
176,ADD WHIPPED CREAM             ,371.28,BEVERAGE
133,NEW ORLEANS BLUE (REG)        ,352.68,BEVERAGE
208,HONEY ROASTED PEANUT BUTTER CK,340.3,FOOD
168,HOUSE BLEND DE CAFFE (AU LAIT),334.12,BEVERAGE
171,AU LAIT SET                   ,317.25,MERCHANDISE
113,ADD POTATO WEDGES             ,303.18,MISC
85,CHERRY FLAVOUR SINGLE         ,297.0,TOBACCO
257,ROSE FLAVORS SINGLE           ,297.0,MISC
265,BEACH GREEN                   ,294.75,MERCHANDISE
132,GREAT LAKES-JAVA BLEND (AULAIT)     ,284.62,BEVERAGE
266,SPICED LEMON AND BASIL VELOUTE,278.43,FOOD
175,BUTTERED TOASTS               ,272.25,FOOD
223,EARL GREY                     ,272.24,BEVERAGE
211,LASSI DA GLASS                ,249.9,MERCHANDISE
212,DAARU BEER GLASS              ,249.75,MERCHANDISE
138,THUNDER THIGH(JUICE GLS) RED  ,249.75,MERCHANDISE
246,PLAIN JANES (VANILLA)         ,247.5,MISC
226,CH COFFEE MUGS                ,225.0,MERCHANDISE
259,CH TINS                       ,224.7,MERCHANDISE
137,ZERO SIZE SHOT GLS            ,220.5,MERCHANDISE
91,SANGRIA ROSE (GLS)            ,220.5,WINES
193,GOA GIRLS SHOT GLASS          ,220.5,MERCHANDISE
244,GOLD FLAKE KING RED           ,210.0,TOBACCO
207,GOLD FLAKE KING BLUE          ,210.0,TOBACCO
140,BENSON & HEDGES LIGHTS        ,210.0,TOBACCO
146,CH KEY CHAIN                  ,199.5,MERCHANDISE
279,WARM PEPPER & CHICKPEA SALAD  ,198.0,FOOD
147,ASIAN WOK TOSSED SALAD        ,198.0,FOOD
134,ADD CARAMEL FLAVOUR           ,185.64000000000001,BEVERAGE
28,ADD CINNAMON FLAVOUR          ,185.64000000000001,BEVERAGE
227,TINS RECT & SMALL CIRCULAR    ,179.55,MERCHANDISE
209,JAVA ESTATES (AULAIT)         ,179.44,BEVERAGE
205,GUATEMALA ANTIGUA (AULAIT)    ,179.44,BEVERAGE
26,ADD VANILLA FLAVOUR           ,154.70000000000002,BEVERAGE
224,GUATEMALA ANTIGUA (REG)       ,154.69,BEVERAGE
170,JAVA ESTATES (REG)            ,154.69,BEVERAGE
119,HOUSE BLEND DECAFF (REG)      ,142.31,BEVERAGE
192,CH NOTE BOOKS                 ,130.2,MERCHANDISE
253,CLASSIC ULTRA MILD            ,99.6,TOBACCO
199,CURRIED WASHINGTON APPLE SOUP ,92.81,FOOD
159,B-BEANS G-TOMATO & WEDGES     ,80.44,FOOD
225,MUGS - FLAMES                 ,75.38,MERCHANDISE
272,MUGS - TOP BOTTOM             ,65.25,MERCHANDISE
264,RULER DIARY                   ,65.1,MERCHANDISE
243,CH BOOKMARKS SET OF 4         ,39.9,MERCHANDISE
206,ADD IRISH CREAM FLAVOUR       ,30.94,BEVERAGE
